,ID,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
55,6260,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
56,10383,Postgraduate,Alone,No child,No child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
57,7437,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
59,8375,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
60,6853,Postgraduate,Alone,No child,No child,Need attention,Adult,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
61,3076,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
62,1012,Postgraduate,Alone,Has child,1 child,Need attention,Senior,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
63,6518,Postgraduate,Alone,Has child,1 child,Need attention,Senior,Medium to high income,Experienced customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Low consumer
64,4137,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
65,8082,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer
66,1386,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
67,9369,Undergraduate,Alone,Has child,1 child,Stars,Adult,High income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
68,4477,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
69,1357,Postgraduate,In couple,Has child,3 children,Need attention,Mature,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
70,1402,Postgraduate,In couple,No child,No child,Need attention,Senior,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
72,6312,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
73,8132,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
74,1050,Postgraduate,In couple,No child,No child,Leaky bucket,Senior,Low income,New customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
75,5846,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
76,1859,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
77,7503,Postgraduate,Alone,No child,No child,Need attention,Adult,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
78,10401,Undergraduate,In couple,No child,No child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Non consumer,Low consumer,Low consumer
79,1618,Postgraduate,In couple,No child,No child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
80,3332,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
81,2261,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
82,5346,Undergraduate,In couple,Has child,1 child,High potential,Mature,Low income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
83,4119,Postgraduate,In couple,No child,No child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
84,535,Postgraduate,Alone,No child,No child,Stars,Adult,High income,New customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
85,5268,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
86,273,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
87,4452,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
88,8504,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
89,771,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Low consumer
93,11178,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
94,2230,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Non consumer,Non consumer
95,7516,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
96,7247,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
97,11100,Postgraduate,Alone,Has child,2 children,High potential,Mature,Medium to high income,Experienced customers,Frequent consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
98,4646,Undergraduate,In couple,No child,No child,Stars,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
99,3037,Postgraduate,In couple,No child,No child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
100,1473,Undergraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
101,1016,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
102,4518,Postgraduate,In couple,Has child,1 child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
103,9370,Postgraduate,In couple,No child,No child,Need attention,Senior,Medium to high income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
104,8908,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
105,8373,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
106,7533,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
107,2683,Postgraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
108,3629,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
109,10991,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
110,5077,Postgraduate,In couple,Has child,1 child,Stars,Adult,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
111,7431,Postgraduate,Alone,No child,No child,Need attention,Young,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
112,3267,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
113,999,Postgraduate,Alone,No child,No child,Need attention,Young,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
114,9215,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
115,2286,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
116,1592,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
117,367,Undergraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
118,5234,Undergraduate,In couple,Has child,2 children,High potential,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
119,9862,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
120,9805,Postgraduate,In couple,Has child,1 child,Need attention,Senior,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
121,6205,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
122,8442,Postgraduate,In couple,Has child,2 children,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
123,7386,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Non consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
124,7215,Postgraduate,Alone,No child,No child,Need attention,Adult,High income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
125,1491,Undergraduate,In couple,No child,No child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
126,11071,Postgraduate,Alone,No child,No child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Non consumer,Biggest consumer
127,3381,Postgraduate,In couple,Has child,2 children,Leaky bucket,Senior,Medium to high income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
129,11051,Postgraduate,In couple,Has child,2 children,Stars,Mature,High income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
130,8026,Postgraduate,In couple,Has child,1 child,Stars,Senior,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
131,433,Postgraduate,Alone,Has child,2 children,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
132,9597,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
134,5290,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
135,1685,Postgraduate,In couple,No child,No child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
136,5342,Undergraduate,Alone,Has child,1 child,High potential,Adult,Low income,Old customers,Non consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
137,9579,Postgraduate,In couple,Has child,3 children,High potential,Mature,Low income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
138,7660,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
139,1461,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
140,821,Postgraduate,Alone,No child,No child,Need attention,Young,High income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
141,11084,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
142,8690,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
143,2937,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
144,9701,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
145,9949,Postgraduate,In couple,Has child,2 children,Need attention,Adult,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
146,10837,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
147,3120,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Discovering customers,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer,Low consumer
148,5885,Undergraduate,In couple,Has child,3 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
149,4050,Postgraduate,In couple,No child,No child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
150,3830,Postgraduate,In couple,Has child,2 children,Stars,Senior,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
151,7987,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
152,7798,Undergraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
153,92,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
154,7055,Postgraduate,In couple,Has child,1 child,Need attention,Senior,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Non consumer,Non consumer,Biggest consumer
155,10240,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
156,3025,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer
157,9283,Postgraduate,Alone,Has child,3 children,Leaky bucket,Adult,Medium to high income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Non consumer
158,9970,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
159,2730,Postgraduate,Alone,No child,No child,Stars,Senior,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
160,2795,Postgraduate,Alone,Has child,3 children,High potential,Mature,Low income,Experienced customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
161,9260,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
162,8182,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
163,10095,Postgraduate,Alone,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
164,8475,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,New customers,Low consumer,Low consumer,Biggest consumer,Low consumer,Low consumer,Low consumer
165,4370,Postgraduate,In couple,Has child,3 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
166,10573,Postgraduate,Alone,No child,No child,Stars,Senior,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
167,3712,Postgraduate,Alone,No child,No child,Leaky bucket,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer
